size	colour	xmin	xmax	ymin	ymax	showSelected1	PANEL
3	#FFA500	0.42	6.58	1	100	subset	1
3	#FFA500	0.42	6.58	101	200	subset	1
1	#7F7F7F	0.42	6.58	1	34	fold	1
1	#7F7F7F	0.42	6.58	35	68	fold	1
1	#7F7F7F	0.42	6.58	69	100	fold	1
1	#7F7F7F	0.42	6.58	101	134	fold	1
1	#7F7F7F	0.42	6.58	135	168	fold	1
1	#7F7F7F	0.42	6.58	169	200	fold	1
3	#FFA500	6.42	12.58	1	100	subset	2
3	#FFA500	6.42	12.58	101	200	subset	2
1	#7F7F7F	6.42	12.58	1	34	fold	2
1	#7F7F7F	6.42	12.58	35	68	fold	2
1	#7F7F7F	6.42	12.58	69	100	fold	2
1	#7F7F7F	6.42	12.58	101	134	fold	2
1	#7F7F7F	6.42	12.58	135	168	fold	2
1	#7F7F7F	6.42	12.58	169	200	fold	2
3	#FFA500	12.42	18.58	1	100	subset	3
3	#FFA500	12.42	18.58	101	200	subset	3
1	#7F7F7F	12.42	18.58	1	34	fold	3
1	#7F7F7F	12.42	18.58	35	68	fold	3
1	#7F7F7F	12.42	18.58	69	100	fold	3
1	#7F7F7F	12.42	18.58	101	134	fold	3
1	#7F7F7F	12.42	18.58	135	168	fold	3
1	#7F7F7F	12.42	18.58	169	200	fold	3
