x	y	label	PANEL	group	anchor
6.47	50.5	group=1	1	-1	end
6.47	150.5	group=2	1	-1	end
0.53	17.5	fold=1	1	-1	start
0.53	51.5	fold=2	1	-1	start
0.53	84.5	fold=3	1	-1	start
0.53	117.5	fold=1	1	-1	start
0.53	151.5	fold=2	1	-1	start
0.53	184.5	fold=3	1	-1	start
12.47	50.5	group=1	2	-1	end
12.47	150.5	group=2	2	-1	end
6.53	17.5	fold=1	2	-1	start
6.53	51.5	fold=2	2	-1	start
6.53	84.5	fold=3	2	-1	start
6.53	117.5	fold=1	2	-1	start
6.53	151.5	fold=2	2	-1	start
6.53	184.5	fold=3	2	-1	start
18.47	50.5	group=1	3	-1	end
18.47	150.5	group=2	3	-1	end
12.53	17.5	fold=1	3	-1	start
12.53	51.5	fold=2	3	-1	start
12.53	84.5	fold=3	3	-1	start
12.53	117.5	fold=1	3	-1	start
12.53	151.5	fold=2	3	-1	start
12.53	184.5	fold=3	3	-1	start
